Source,JobTitle_EN,JobTitle_GE,Skills,Description
Global (popular entry-level),Project Assistant,,MS Office; Email etiquette; Scheduling; Organization; Data entry; Attention to detail; Document management,Supports day-to-day tasks as a Project Assistant in an office environment. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),Reservation Agent,,Active listening; Problem solving; CRM tools; Written communication; Phone etiquette; Empathy,"Supports day-to-day tasks as a Reservation Agent supporting customers across phone, chat, or email. Great for building core professional skills through structured routines and clear responsibilities."
Global (popular entry-level),Stock Controller (Junior),,Accuracy; Physical stamina; Inventory handling; Packing; Basic math; Teamwork,Supports day-to-day tasks as a Stock Controller (Junior) in warehouses and supply operations. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),Dispatcher Assistant (Delivery),,Navigation; Time management; Customer service; Cash handling; Safe driving; Reliability,Supports day-to-day tasks as a Dispatcher Assistant (Delivery) delivering items and coordinating last-mile tasks. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),Event Assistant,,Copywriting; Creativity; Social media; Content planning; Basic design tools; Analytics basics,Supports day-to-day tasks as a Event Assistant supporting campaigns and content execution. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),AML Assistant,,Excel; Attention to detail; Basic accounting; Reconciliation; Confidentiality; Organization; Data accuracy; Communication,"Supports day-to-day tasks as a AML Assistant supporting finance, banking, or operations workflows. Great for building core professional skills through structured routines and clear responsibilities."
Global (popular entry-level),Junior Business Analyst,,Basic SQL; Excel; Attention to detail; Analytical thinking; Documentation; Teamwork,"Supports day-to-day tasks as a Junior Business Analyst supporting data, QA, or IT processes. Great for building core professional skills through structured routines and clear responsibilities."
Global (popular entry-level),Groundskeeper,,Vigilance; Customer service; Incident reporting; Reliability; Communication; Safety procedures; Teamwork; Calm under pressure,Supports day-to-day tasks as a Groundskeeper supporting safety and facility operations. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),Assembly Assistant,,Manual dexterity; Quality checks; Safety awareness; Following procedures; Teamwork; Time management; Attention to detail,Supports day-to-day tasks as a Assembly Assistant supporting production and quality processes. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),Pharmacy Stock Assistant,,Empathy; Hygiene; Attention to detail; Communication; Basic record-keeping; Teamwork; Reliability; Time management,"Supports day-to-day tasks as a Pharmacy Stock Assistant supporting clinics, pharmacies, or labs. Great for building core professional skills through structured routines and clear responsibilities."
Global (popular entry-level),Junior SEO Assistant (Trainee),,Copywriting; Creativity; Social media; Content planning; Basic design tools; Analytics basics,Supports day-to-day tasks as a Junior SEO Assistant (Trainee) supporting campaigns and content execution. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),Visual Merchandising Assistant,,Customer service; Communication; POS systems; Cash handling; Product knowledge; Upselling; Teamwork,Supports day-to-day tasks as a Visual Merchandising Assistant in a store or sales environment. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),Salon Receptionist,,Customer service; Multitasking; Speed; Food safety; Hygiene; Teamwork; Time management,"Supports day-to-day tasks as a Salon Receptionist in cafés, restaurants, or hotels. Great for building core professional skills through structured routines and clear responsibilities."
Global (popular entry-level),Office Coordinator (Junior),,MS Office; Email etiquette; Scheduling; Organization; Data entry; Attention to detail; Document management; Communication,Supports day-to-day tasks as a Office Coordinator (Junior) in an office environment. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),Ticketing Agent (Entry Level),,Active listening; Problem solving; CRM tools; Written communication; Phone etiquette; Empathy; Time management,"Supports day-to-day tasks as a Ticketing Agent (Entry Level) supporting customers across phone, chat, or email. Great for building core professional skills through structured routines and clear responsibilities."
Global (popular entry-level),Dispatcher (Entry Level),,Accuracy; Physical stamina; Inventory handling; Packing; Basic math; Teamwork; Safety awareness; Time management,Supports day-to-day tasks as a Dispatcher (Entry Level) in warehouses and supply operations. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),Delivery Support Associate,,Navigation; Time management; Customer service; Cash handling; Safe driving; Reliability; Problem solving,Supports day-to-day tasks as a Delivery Support Associate delivering items and coordinating last-mile tasks. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),Promotions Assistant,,Copywriting; Creativity; Social media; Content planning; Basic design tools; Analytics basics; Communication; Time management,Supports day-to-day tasks as a Promotions Assistant supporting campaigns and content execution. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),Treasury Assistant,,Excel; Attention to detail; Basic accounting; Reconciliation; Confidentiality; Organization,"Supports day-to-day tasks as a Treasury Assistant supporting finance, banking, or operations workflows. Great for building core professional skills through structured routines and clear responsibilities."
Global (popular entry-level),Junior Implementation Assistant,,Basic SQL; Excel; Attention to detail; Analytical thinking; Documentation; Teamwork; Communication; Learning mindset,"Supports day-to-day tasks as a Junior Implementation Assistant supporting data, QA, or IT processes. Great for building core professional skills through structured routines and clear responsibilities."
Global (popular entry-level),Building Concierge,,Vigilance; Customer service; Incident reporting; Reliability; Communication; Safety procedures; Teamwork; Calm under pressure,Supports day-to-day tasks as a Building Concierge supporting safety and facility operations. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),Machine Operator Trainee,,Manual dexterity; Quality checks; Safety awareness; Following procedures; Teamwork; Time management,Supports day-to-day tasks as a Machine Operator Trainee supporting production and quality processes. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),Social Media Assistant (Trainee),,Copywriting; Creativity; Social media; Content planning; Basic design tools; Analytics basics; Communication; Time management,Supports day-to-day tasks as a Social Media Assistant (Trainee) supporting campaigns and content execution. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),Receptionist (Trainee),,MS Office; Email etiquette; Scheduling; Organization; Data entry; Attention to detail; Document management; Communication,Supports day-to-day tasks as a Receptionist (Trainee) in an office environment. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),Store Supervisor Trainee,,Customer service; Communication; POS systems; Cash handling; Product knowledge; Upselling; Teamwork,Supports day-to-day tasks as a Store Supervisor Trainee in a store or sales environment. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),Bakery Assistant,,Customer service; Multitasking; Speed; Food safety; Hygiene; Teamwork; Time management; Stress tolerance,"Supports day-to-day tasks as a Bakery Assistant in cafés, restaurants, or hotels. Great for building core professional skills through structured routines and clear responsibilities."
Global (popular entry-level),Junior Scheduler,,MS Office; Email etiquette; Scheduling; Organization; Data entry; Attention to detail; Document management,Supports day-to-day tasks as a Junior Scheduler in an office environment. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),Customer Onboarding Specialist (Junior),,Active listening; Problem solving; CRM tools; Written communication; Phone etiquette; Empathy,"Supports day-to-day tasks as a Customer Onboarding Specialist (Junior) supporting customers across phone, chat, or email. Great for building core professional skills through structured routines and clear responsibilities."
Global (popular entry-level),Route Planner Assistant,,Accuracy; Physical stamina; Inventory handling; Packing; Basic math; Teamwork; Safety awareness,Supports day-to-day tasks as a Route Planner Assistant in warehouses and supply operations. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),Route Assistant,,Navigation; Time management; Customer service; Cash handling; Safe driving; Reliability; Problem solving,Supports day-to-day tasks as a Route Assistant delivering items and coordinating last-mile tasks. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),Junior Web Content Editor,,Copywriting; Creativity; Social media; Content planning; Basic design tools; Analytics basics,Supports day-to-day tasks as a Junior Web Content Editor supporting campaigns and content execution. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),Cash Management Assistant,,Excel; Attention to detail; Basic accounting; Reconciliation; Confidentiality; Organization; Data accuracy,"Supports day-to-day tasks as a Cash Management Assistant supporting finance, banking, or operations workflows. Great for building core professional skills through structured routines and clear responsibilities."
Global (popular entry-level),POS Support Assistant,,Basic SQL; Excel; Attention to detail; Analytical thinking; Documentation; Teamwork,"Supports day-to-day tasks as a POS Support Assistant supporting data, QA, or IT processes. Great for building core professional skills through structured routines and clear responsibilities."
Global (popular entry-level),Night Shift Attendant,,Vigilance; Customer service; Incident reporting; Reliability; Communication; Safety procedures; Teamwork; Calm under pressure,Supports day-to-day tasks as a Night Shift Attendant supporting safety and facility operations. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),Labeling Associate,,Manual dexterity; Quality checks; Safety awareness; Following procedures; Teamwork; Time management; Attention to detail; Basic machine handling,Supports day-to-day tasks as a Labeling Associate supporting production and quality processes. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),CRM Data Assistant (Trainee),,Basic SQL; Excel; Attention to detail; Analytical thinking; Documentation; Teamwork; Communication,"Supports day-to-day tasks as a CRM Data Assistant (Trainee) supporting data, QA, or IT processes. Great for building core professional skills through structured routines and clear responsibilities."
Global (popular entry-level),Retail Merchandiser (Trainee),,Customer service; Communication; POS systems; Cash handling; Product knowledge; Upselling; Teamwork; Attention to detail,Supports day-to-day tasks as a Retail Merchandiser (Trainee) in a store or sales environment. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),Assistant Store Manager Trainee,,Customer service; Communication; POS systems; Cash handling; Product knowledge; Upselling,Supports day-to-day tasks as a Assistant Store Manager Trainee in a store or sales environment. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),Pastry Assistant,,Customer service; Multitasking; Speed; Food safety; Hygiene; Teamwork; Time management; Stress tolerance,"Supports day-to-day tasks as a Pastry Assistant in cafés, restaurants, or hotels. Great for building core professional skills through structured routines and clear responsibilities."
Global (popular entry-level),Print Shop Assistant,,MS Office; Email etiquette; Scheduling; Organization; Data entry; Attention to detail,Supports day-to-day tasks as a Print Shop Assistant in an office environment. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),Collections Agent (Junior),,Active listening; Problem solving; CRM tools; Written communication; Phone etiquette; Empathy; Time management; Conflict resolution,"Supports day-to-day tasks as a Collections Agent (Junior) supporting customers across phone, chat, or email. Great for building core professional skills through structured routines and clear responsibilities."
Global (popular entry-level),Supply Chain Assistant,,Accuracy; Physical stamina; Inventory handling; Packing; Basic math; Teamwork; Safety awareness,Supports day-to-day tasks as a Supply Chain Assistant in warehouses and supply operations. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),Reporting Assistant (Trainee),,Basic SQL; Excel; Attention to detail; Analytical thinking; Documentation; Teamwork; Communication; Learning mindset,"Supports day-to-day tasks as a Reporting Assistant (Trainee) supporting data, QA, or IT processes. Great for building core professional skills through structured routines and clear responsibilities."
Global (popular entry-level),Marketing Operations Assistant,,Copywriting; Creativity; Social media; Content planning; Basic design tools; Analytics basics; Communication; Time management,Supports day-to-day tasks as a Marketing Operations Assistant supporting campaigns and content execution. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),Junior Compliance Assistant,,Excel; Attention to detail; Basic accounting; Reconciliation; Confidentiality; Organization; Data accuracy; Communication,"Supports day-to-day tasks as a Junior Compliance Assistant supporting finance, banking, or operations workflows. Great for building core professional skills through structured routines and clear responsibilities."
Global (popular entry-level),Junior Procurement Analyst,,Basic SQL; Excel; Attention to detail; Analytical thinking; Documentation; Teamwork,"Supports day-to-day tasks as a Junior Procurement Analyst supporting data, QA, or IT processes. Great for building core professional skills through structured routines and clear responsibilities."
Global (popular entry-level),Site Assistant,,Vigilance; Customer service; Incident reporting; Reliability; Communication; Safety procedures,Supports day-to-day tasks as a Site Assistant supporting safety and facility operations. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),Bank Teller (Entry Level) (Trainee),,Excel; Attention to detail; Basic accounting; Reconciliation; Confidentiality; Organization; Data accuracy,"Supports day-to-day tasks as a Bank Teller (Entry Level) (Trainee) supporting finance, banking, or operations workflows. Great for building core professional skills through structured routines and clear responsibilities."
Global (popular entry-level),Security Guard (Trainee),,Vigilance; Customer service; Incident reporting; Reliability; Communication; Safety procedures,Supports day-to-day tasks as a Security Guard (Trainee) supporting safety and facility operations. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),Receptionist (Trainee) (Trainee),,MS Office; Email etiquette; Scheduling; Organization; Data entry; Attention to detail; Document management; Communication,Supports day-to-day tasks as a Receptionist (Trainee) (Trainee) in an office environment. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),Pet Store Associate,,Customer service; Communication; POS systems; Cash handling; Product knowledge; Upselling; Teamwork; Attention to detail,Supports day-to-day tasks as a Pet Store Associate in a store or sales environment. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),Line Cook (Entry Level),,Customer service; Multitasking; Speed; Food safety; Hygiene; Teamwork,"Supports day-to-day tasks as a Line Cook (Entry Level) in cafés, restaurants, or hotels. Great for building core professional skills through structured routines and clear responsibilities."
Global (popular entry-level),Front Office Trainee,,MS Office; Email etiquette; Scheduling; Organization; Data entry; Attention to detail; Document management; Communication,Supports day-to-day tasks as a Front Office Trainee in an office environment. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),Switchboard Operator,,Active listening; Problem solving; CRM tools; Written communication; Phone etiquette; Empathy; Time management,"Supports day-to-day tasks as a Switchboard Operator supporting customers across phone, chat, or email. Great for building core professional skills through structured routines and clear responsibilities."
Global (popular entry-level),Order Management Assistant,,Accuracy; Physical stamina; Inventory handling; Packing; Basic math; Teamwork; Safety awareness,Supports day-to-day tasks as a Order Management Assistant in warehouses and supply operations. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),Room Attendant (Trainee),,Customer service; Multitasking; Speed; Food safety; Hygiene; Teamwork,"Supports day-to-day tasks as a Room Attendant (Trainee) in cafés, restaurants, or hotels. Great for building core professional skills through structured routines and clear responsibilities."
Global (popular entry-level),Campaign Assistant,,Copywriting; Creativity; Social media; Content planning; Basic design tools; Analytics basics,Supports day-to-day tasks as a Campaign Assistant supporting campaigns and content execution. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),Sales Operations Assistant,,Excel; Attention to detail; Basic accounting; Reconciliation; Confidentiality; Organization; Data accuracy,"Supports day-to-day tasks as a Sales Operations Assistant supporting finance, banking, or operations workflows. Great for building core professional skills through structured routines and clear responsibilities."
Global (popular entry-level),Junior Systems Assistant,,Basic SQL; Excel; Attention to detail; Analytical thinking; Documentation; Teamwork; Communication,"Supports day-to-day tasks as a Junior Systems Assistant supporting data, QA, or IT processes. Great for building core professional skills through structured routines and clear responsibilities."
Global (popular entry-level),CRM Data Assistant (Trainee) (Trainee),,Basic SQL; Excel; Attention to detail; Analytical thinking; Documentation; Teamwork,"Supports day-to-day tasks as a CRM Data Assistant (Trainee) (Trainee) supporting data, QA, or IT processes. Great for building core professional skills through structured routines and clear responsibilities."
Global (popular entry-level),KYC Analyst (Junior) (Trainee),,Excel; Attention to detail; Basic accounting; Reconciliation; Confidentiality; Organization,"Supports day-to-day tasks as a KYC Analyst (Junior) (Trainee) supporting finance, banking, or operations workflows. Great for building core professional skills through structured routines and clear responsibilities."
Global (popular entry-level),Administrative Assistant (Trainee),,MS Office; Email etiquette; Scheduling; Organization; Data entry; Attention to detail,Supports day-to-day tasks as a Administrative Assistant (Trainee) in an office environment. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),Office Assistant (Trainee),,MS Office; Email etiquette; Scheduling; Organization; Data entry; Attention to detail; Document management; Communication,Supports day-to-day tasks as a Office Assistant (Trainee) in an office environment. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),Electronics Store Assistant,,Customer service; Communication; POS systems; Cash handling; Product knowledge; Upselling,Supports day-to-day tasks as a Electronics Store Assistant in a store or sales environment. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),Ice Cream Server,,Customer service; Multitasking; Speed; Food safety; Hygiene; Teamwork,"Supports day-to-day tasks as a Ice Cream Server in cafés, restaurants, or hotels. Great for building core professional skills through structured routines and clear responsibilities."
Global (popular entry-level),Property Management Assistant,,MS Office; Email etiquette; Scheduling; Organization; Data entry; Attention to detail; Document management; Communication,Supports day-to-day tasks as a Property Management Assistant in an office environment. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),Customer Experience Assistant,,Active listening; Problem solving; CRM tools; Written communication; Phone etiquette; Empathy; Time management,"Supports day-to-day tasks as a Customer Experience Assistant supporting customers across phone, chat, or email. Great for building core professional skills through structured routines and clear responsibilities."
Global (popular entry-level),Forklift Helper (Entry Level),,Accuracy; Physical stamina; Inventory handling; Packing; Basic math; Teamwork,Supports day-to-day tasks as a Forklift Helper (Entry Level) in warehouses and supply operations. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),Hotel Porter (Trainee),,Customer service; Multitasking; Speed; Food safety; Hygiene; Teamwork; Time management; Stress tolerance,"Supports day-to-day tasks as a Hotel Porter (Trainee) in cafés, restaurants, or hotels. Great for building core professional skills through structured routines and clear responsibilities."
Global (popular entry-level),Content Moderator (Brand),,Copywriting; Creativity; Social media; Content planning; Basic design tools; Analytics basics,Supports day-to-day tasks as a Content Moderator (Brand) supporting campaigns and content execution. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),Reconciliation Clerk,,Excel; Attention to detail; Basic accounting; Reconciliation; Confidentiality; Organization,"Supports day-to-day tasks as a Reconciliation Clerk supporting finance, banking, or operations workflows. Great for building core professional skills through structured routines and clear responsibilities."
Global (popular entry-level),QA Analyst Trainee,,Basic SQL; Excel; Attention to detail; Analytical thinking; Documentation; Teamwork; Communication; Learning mindset,"Supports day-to-day tasks as a QA Analyst Trainee supporting data, QA, or IT processes. Great for building core professional skills through structured routines and clear responsibilities."
Global (popular entry-level),PR Assistant (Trainee),,Copywriting; Creativity; Social media; Content planning; Basic design tools; Analytics basics; Communication,Supports day-to-day tasks as a PR Assistant (Trainee) supporting campaigns and content execution. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),Packaging Operator (Entry Level) (Trainee),,Manual dexterity; Quality checks; Safety awareness; Following procedures; Teamwork; Time management; Attention to detail; Basic machine handling,Supports day-to-day tasks as a Packaging Operator (Entry Level) (Trainee) supporting production and quality processes. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),Office Coordinator (Junior) (Trainee),,MS Office; Email etiquette; Scheduling; Organization; Data entry; Attention to detail,Supports day-to-day tasks as a Office Coordinator (Junior) (Trainee) in an office environment. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),Pastry Assistant (Trainee),,Customer service; Multitasking; Speed; Food safety; Hygiene; Teamwork; Time management,"Supports day-to-day tasks as a Pastry Assistant (Trainee) in cafés, restaurants, or hotels. Great for building core professional skills through structured routines and clear responsibilities."
Global (popular entry-level),Furniture Sales Assistant,,Customer service; Communication; POS systems; Cash handling; Product knowledge; Upselling; Teamwork; Attention to detail,Supports day-to-day tasks as a Furniture Sales Assistant in a store or sales environment. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),Bartender Trainee,,Customer service; Multitasking; Speed; Food safety; Hygiene; Teamwork; Time management; Stress tolerance,"Supports day-to-day tasks as a Bartender Trainee in cafés, restaurants, or hotels. Great for building core professional skills through structured routines and clear responsibilities."
Global (popular entry-level),Leasing Assistant,,MS Office; Email etiquette; Scheduling; Organization; Data entry; Attention to detail; Document management,Supports day-to-day tasks as a Leasing Assistant in an office environment. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),E-commerce Support Agent,,Active listening; Problem solving; CRM tools; Written communication; Phone etiquette; Empathy,"Supports day-to-day tasks as a E-commerce Support Agent supporting customers across phone, chat, or email. Great for building core professional skills through structured routines and clear responsibilities."
Global (popular entry-level),Loading/Unloading Associate,,Accuracy; Physical stamina; Inventory handling; Packing; Basic math; Teamwork; Safety awareness; Time management,Supports day-to-day tasks as a Loading/Unloading Associate in warehouses and supply operations. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),Community Assistant,,Copywriting; Creativity; Social media; Content planning; Basic design tools; Analytics basics; Communication; Time management,Supports day-to-day tasks as a Community Assistant supporting campaigns and content execution. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),Loan Processing Assistant,,Excel; Attention to detail; Basic accounting; Reconciliation; Confidentiality; Organization; Data accuracy; Communication,"Supports day-to-day tasks as a Loan Processing Assistant supporting finance, banking, or operations workflows. Great for building core professional skills through structured routines and clear responsibilities."
Global (popular entry-level),IT Asset Assistant,,Basic SQL; Excel; Attention to detail; Analytical thinking; Documentation; Teamwork,"Supports day-to-day tasks as a IT Asset Assistant supporting data, QA, or IT processes. Great for building core professional skills through structured routines and clear responsibilities."
jobs.ge-inspired (Georgia entry-level market),Barista (Junior),ბარისტა (ცვლაში),Customer service; Multitasking; Speed; Food safety; Hygiene; Teamwork; Time management; Stress tolerance,"Entry-level role supporting daily responsibilities as a Barista (Junior), typically in a fast-moving team setting. Focuses on reliability, communication, and learning the company’s processes while delivering consistent results."
jobs.ge-inspired (Georgia entry-level market),Promoter (Junior),პრომოუტერი (ცვლაში),Customer service; Communication; POS systems; Cash handling; Product knowledge; Upselling; Teamwork; Attention to detail,"Entry-level role supporting daily responsibilities as a Promoter (Junior), typically in a fast-moving team setting. Focuses on reliability, communication, and learning the company’s processes while delivering consistent results."
jobs.ge-inspired (Georgia entry-level market),Baker,მცხობელი,Customer service; Multitasking; Speed; Food safety; Hygiene; Teamwork,"Entry-level role supporting daily responsibilities as a Baker, typically in a fast-moving team setting. Focuses on reliability, communication, and learning the company’s processes while delivering consistent results."
jobs.ge-inspired (Georgia entry-level market),Warehouse Employee,საწყობის თანამშრომელი,Accuracy; Physical stamina; Inventory handling; Packing; Basic math; Teamwork; Safety awareness,"Entry-level role supporting daily responsibilities as a Warehouse Employee, typically in a fast-moving team setting. Focuses on reliability, communication, and learning the company’s processes while delivering consistent results."
jobs.ge-inspired (Georgia entry-level market),Sales Consultant (Shift),გამყიდველ-კონსულტანტი (ასისტენტი),Customer service; Communication; POS systems; Cash handling; Product knowledge; Upselling,"Entry-level role supporting daily responsibilities as a Sales Consultant (Shift), typically in a fast-moving team setting. Focuses on reliability, communication, and learning the company’s processes while delivering consistent results."
jobs.ge-inspired (Georgia entry-level market),Teller/Operator (Entry Level),მოლარე-ოპერატორი (დამწყები),Excel; Attention to detail; Basic accounting; Reconciliation; Confidentiality; Organization,"Entry-level role supporting daily responsibilities as a Teller/Operator (Entry Level), typically in a fast-moving team setting. Focuses on reliability, communication, and learning the company’s processes while delivering consistent results."
jobs.ge-inspired (Georgia entry-level market),Barista (Assistant),ბარისტა (დამწყები),Customer service; Multitasking; Speed; Food safety; Hygiene; Teamwork,"Entry-level role supporting daily responsibilities as a Barista (Assistant), typically in a fast-moving team setting. Focuses on reliability, communication, and learning the company’s processes while delivering consistent results."
jobs.ge-inspired (Georgia entry-level market),Contact Center Operator,სატელეფონო ცენტრის ოპერატორი,Active listening; Problem solving; CRM tools; Written communication; Phone etiquette; Empathy; Time management,"Entry-level role supporting daily responsibilities as a Contact Center Operator, typically in a fast-moving team setting. Focuses on reliability, communication, and learning the company’s processes while delivering consistent results."
jobs.ge-inspired (Georgia entry-level market),Contact Center Operator (Shift),სატელეფონო ცენტრის ოპერატორი (ჯუნიორი),Active listening; Problem solving; CRM tools; Written communication; Phone etiquette; Empathy; Time management,"Entry-level role supporting daily responsibilities as a Contact Center Operator (Shift), typically in a fast-moving team setting. Focuses on reliability, communication, and learning the company’s processes while delivering consistent results."
jobs.ge-inspired (Georgia entry-level market),Waiter/Waitress (Trainee),ოფიციანტი (ჯუნიორი),Customer service; Multitasking; Speed; Food safety; Hygiene; Teamwork; Time management; Stress tolerance,"Entry-level role supporting daily responsibilities as a Waiter/Waitress (Trainee), typically in a fast-moving team setting. Focuses on reliability, communication, and learning the company’s processes while delivering consistent results."
jobs.ge-inspired (Georgia entry-level market),Administrative Assistant (Assistant),ადმინისტრაციული ასისტენტი (ასისტენტი),MS Office; Email etiquette; Scheduling; Organization; Data entry; Attention to detail; Document management; Communication,"Entry-level role supporting daily responsibilities as a Administrative Assistant (Assistant), typically in a fast-moving team setting. Focuses on reliability, communication, and learning the company’s processes while delivering consistent results."
jobs.ge-inspired (Georgia entry-level market),Security Officer (Entry Level),უსაფრთხოების ოფიცერი (ცვლაში),Vigilance; Customer service; Incident reporting; Reliability; Communication; Safety procedures; Teamwork,"Entry-level role supporting daily responsibilities as a Security Officer (Entry Level), typically in a fast-moving team setting. Focuses on reliability, communication, and learning the company’s processes while delivering consistent results."
jobs.ge-inspired (Georgia entry-level market),Hotel Administrator,სასტუმროს ადმინისტრატორი,Customer service; Multitasking; Speed; Food safety; Hygiene; Teamwork,"Entry-level role supporting daily responsibilities as a Hotel Administrator, typically in a fast-moving team setting. Focuses on reliability, communication, and learning the company’s processes while delivering consistent results."
jobs.ge-inspired (Georgia entry-level market),Cook (Trainee),მზარეული (ცვლაში),Customer service; Multitasking; Speed; Food safety; Hygiene; Teamwork; Time management; Stress tolerance,"Entry-level role supporting daily responsibilities as a Cook (Trainee), typically in a fast-moving team setting. Focuses on reliability, communication, and learning the company’s processes while delivering consistent results."
jobs.ge-inspired (Georgia entry-level market),Cashier-Consultant (Assistant),მოლარე-კონსულტანტი (დამწყები),Customer service; Communication; POS systems; Cash handling; Product knowledge; Upselling,"Entry-level role supporting daily responsibilities as a Cashier-Consultant (Assistant), typically in a fast-moving team setting. Focuses on reliability, communication, and learning the company’s processes while delivering consistent results."
jobs.ge-inspired (Georgia entry-level market),Cleaner (Assistant),დამლაგებელი (სტაჟიორი),Vigilance; Customer service; Incident reporting; Reliability; Communication; Safety procedures,"Entry-level role supporting daily responsibilities as a Cleaner (Assistant), typically in a fast-moving team setting. Focuses on reliability, communication, and learning the company’s processes while delivering consistent results."
jobs.ge-inspired (Georgia entry-level market),Warehouse Employee (Entry Level),საწყობის თანამშრომელი (ჯუნიორი),Accuracy; Physical stamina; Inventory handling; Packing; Basic math; Teamwork; Safety awareness; Time management,"Entry-level role supporting daily responsibilities as a Warehouse Employee (Entry Level), typically in a fast-moving team setting. Focuses on reliability, communication, and learning the company’s processes while delivering consistent results."
jobs.ge-inspired (Georgia entry-level market),Baker (Entry Level),მცხობელი (ცვლაში),Customer service; Multitasking; Speed; Food safety; Hygiene; Teamwork,"Entry-level role supporting daily responsibilities as a Baker (Entry Level), typically in a fast-moving team setting. Focuses on reliability, communication, and learning the company’s processes while delivering consistent results."
jobs.ge-inspired (Georgia entry-level market),1C Operator (Warehouse) (Trainee),საწყობის 1C ოპერატორი (ჯუნიორი),Accuracy; Physical stamina; Inventory handling; Packing; Basic math; Teamwork,"Entry-level role supporting daily responsibilities as a 1C Operator (Warehouse) (Trainee), typically in a fast-moving team setting. Focuses on reliability, communication, and learning the company’s processes while delivering consistent results."
jobs.ge-inspired (Georgia entry-level market),Baker (Part-time),მცხობელი (ასისტენტი),Customer service; Multitasking; Speed; Food safety; Hygiene; Teamwork,"Entry-level role supporting daily responsibilities as a Baker (Part-time), typically in a fast-moving team setting. Focuses on reliability, communication, and learning the company’s processes while delivering consistent results."
jobs.ge-inspired (Georgia entry-level market),Technical Specialist (Junior),ტექნიკური სპეციალისტი (ჯუნიორი),Basic SQL; Excel; Attention to detail; Analytical thinking; Documentation; Teamwork,"Entry-level role supporting daily responsibilities as a Technical Specialist (Junior), typically in a fast-moving team setting. Focuses on reliability, communication, and learning the company’s processes while delivering consistent results."
jobs.ge-inspired (Georgia entry-level market),Packaging Worker (Part-time),შეფუთვის თანამშრომელი (ჯუნიორი),Manual dexterity; Quality checks; Safety awareness; Following procedures; Teamwork; Time management,"Entry-level role supporting daily responsibilities as a Packaging Worker (Part-time), typically in a fast-moving team setting. Focuses on reliability, communication, and learning the company’s processes while delivering consistent results."
